[06-Dec-2007 10:58:05] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 85
[07-Dec-2007 13:14:29] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 528
[07-Dec-2007 13:14:29] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 534
[07-Dec-2007 13:14:29] PHP Warning:  Division by zero in f:\phpdev\www\pamela\ajauction\index.php on line 540
[07-Dec-2007 15:17:39] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 208
[07-Dec-2007 15:19:48] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 211
[07-Dec-2007 15:24:04] PHP Parse error:  parse error, expecting `';'' in f:\phpdev\www\pamela\ajauction\index.php on line 214
[07-Dec-2007 15:24:27] PHP Parse error:  parse error, expecting `';'' in f:\phpdev\www\pamela\ajauction\index.php on line 214
[07-Dec-2007 15:24:29] PHP Parse error:  parse error, expecting `';'' in f:\phpdev\www\pamela\ajauction\index.php on line 214
[07-Dec-2007 15:46:03] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 212
[07-Dec-2007 15:46:27] PHP Parse error:  parse error in f:\phpdev\www\pamela\ajauction\index.php on line 212
[07-Dec-2007 16:08:55] PHP Warning:  mysql_num_rows(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 232
[07-Dec-2007 16:28:07] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 313
[07-Dec-2007 16:54:40] PHP Warning:  mysql_fetch_array(): supplied argument is not a valid MySQL result resource in f:\phpdev\www\pamela\ajauction\index.php on line 468
[07-Dec-2007 17:35:11] PHP Fatal error:  Failed opening required 'templates/sucess_contact.tpl' (include_path='.;f:/phpdev/php/includes;f:/phpdev/php/class') in f:\phpdev\www\pamela\ajauction\contact.php on line 111
[07-Dec-2007 17:40:29] PHP Warning:  Failed to connect to mailserver, verify your "SMTP" setting in php.ini in f:\phpdev\www\pamela\ajauction\contact.php on line 95
[07-Dec-2007 17:42:29] PHP Warning:  Failed to connect to mailserver, verify your "SMTP" setting in php.ini in f:\phpdev\www\pamela\ajauction\contact.php on line 93
[07-Dec-2007 17:43:09] PHP Warning:  Failed to connect to mailserver, verify your "SMTP" setting in php.ini in f:\phpdev\www\pamela\ajauction\contact.php on line 93
[07-Dec-2007 18:03:11] PHP Warning:  ImageFontLoad: unable to open file in f:\phpdev\www\pamela\ajauction\bgimage.php on line 42
[07-Dec-2007 18:03:11] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:03:11] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:03:11] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:03:11] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:03:11] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:03:11] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:03:13] PHP Warning:  ImageFontLoad: unable to open file in f:\phpdev\www\pamela\ajauction\bgimage.php on line 42
[07-Dec-2007 18:03:13] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:03:13] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:03:13] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:03:13] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:42) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:03:13] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:03:13] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:03:36] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:03:36] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:03:36] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:03:36] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:03:36] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:03:36] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:03:38] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:03:38] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:03:38] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:03:38] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:03:38] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:03:39] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:03:39] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:03:39] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:03:39] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:03:39] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:03:39] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:03:51] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:03:52] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:03:52] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:03:52] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:03:52] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:03:52] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:04:15] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:04:15] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:04:15] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:04:15] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:04:15] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:04:15] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:05:20] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:05:20] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:05:21] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:05:21] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:05:21] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:05:21] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:05:42] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:05:42] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:05:42] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:05:42] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
[07-Dec-2007 18:05:42] PHP Warning:  imagejpeg(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 85
[07-Dec-2007 18:05:42] PHP Warning:  imagedestroy(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 88
[07-Dec-2007 18:07:25] PHP Warning:  imagecreatefromjpeg: Unable to open 'background1.jpg' for reading in f:\phpdev\www\pamela\ajauction\bgimage.php on line 48
[07-Dec-2007 18:07:25] PHP Warning:  imagecolorallocate(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 50
[07-Dec-2007 18:07:25] PHP Warning:  imagestring(): supplied argument is not a valid Image resource in f:\phpdev\www\pamela\ajauction\bgimage.php on line 54
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 68
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 71
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 74
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 75
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 78
[07-Dec-2007 18:07:25] PHP Warning:  Cannot add header information - headers already sent by (output started at f:\phpdev\www\pamela\ajauction\bgimage.php:48) in f:\phpdev\www\pamela\ajauction\bgimage.php on line 82
